TREEID,TAXA,COMMON_NAME,TAG,TAGID,LIVE_TREE,DBH,THEIGHT,HEIGHT_LIVETOP,HEIGHT_LIVEBASE,CROWNWIDTH1,CROWNWIDTH2,CANOPYMISSING,CROWN_LIGHTEXP,TEAM,TREE_TYPE,DATE_MEASURE,TREE_ID_YR,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,LAT,LONG,TREE_STATUS,NATIVE_TREE,DBH_HEIGHT,DBHX
5418,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914230826,49.260298,-123.246609,,,,
5419,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914230254,49.260389,-123.246687,,,,
5420,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914225732,49.260477,-123.246754,,,,
5425,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914230331,49.260142,-123.246671,,,,
5430,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914225649,49.260264,-123.246894,,,,
5431,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914230508,49.260302,-123.246825,,,,
5432,Hamamelis,Witch-Hazel,,,,,,,,,,,,,,,,,PLAN,20190614175858,PLAN,20200914225626,49.260313,-123.246754,,,,
4252,Amelanchier grandiflora,,N,,Live,,,,,,,10,5,4,,,,,PLAN,20190614175927,PLAN,20200914230220,49.265723,-123.255041,,,,
2882,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20200914230955,49.265531,-123.256353,,,,
2883,Acer platanoides 'Crimson King',,,,,,,,,,,,,,,,,,PLAN,20190614175847,PLAN,20200914225817,49.265619,-123.256423,,,,
