BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10053,TRIUMF - Trailer PP,TRF24,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,30,850-2,0,,,GISSTUD2,20190514184225,RACHELW,20210709035602,Outbuildings,,,,B3,LeasedFromUBC,-123.229145,49.246359
VBL10050,TRIUMF - Trailer LL,TRF22,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,58,843-6,0,,,GISSTUD2,20190514184021,RACHELW,20210709035603,Outbuildings,,,,B3,LeasedFromUBC,-123.230972,49.246893
VBL10049,TRIUMF - Trailer HH & FF,TRF21,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,608,854-1,0,,,GISSTUD2,20190514183922,RACHELW,20210709035605,Outbuildings,,,,B3,LeasedFromUBC,-123.230643,49.248316
VBL10038,TRIUMF - Trailer A,TRF18,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,145,842-7,0,,,GISSTUD2,20190514182927,RACHELW,20210709035612,Outbuildings,,,,B3,LeasedFromUBC,-123.230325,49.246586
VBL10034,TRIUMF - Nina Storage Shelter,TRF13,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,248,843-5,0,,,GISSTUD2,20190514182318,RACHELW,20210709035614,Outbuildings,,,,B3,LeasedFromUBC,-123.230435,49.246
VBL10061,TRIUMF - Machine Shop Materials,TRF12,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,105,850-4,0,,,GISSTUD2,20190514182230,RACHELW,20210709035616,Outbuildings,,,,B3,LeasedFromUBC,-123.22983,49.246383
VBL10033,TRIUMF - Liquid Helium Storage,TRF11,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,554,843-1,0,,,GISSTUD2,20190514182017,RACHELW,20210709035620,Unspecified,,,,B3,LeasedFromUBC,-123.230786,49.246923
VBL10030,TRIUMF - Hazardous Storage,TRF08,Complete,20050715,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,77,842-1,0,,,GISSTUD2,20190514181531,RACHELW,20210709035627,Outbuildings,,,,B3,LeasedFromUBC,-123.229328,49.246732
VBL10028,TRIUMF - Equipment Marque,TRF06,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,84,843-7,0,,,GISSTUD2,20190514181341,RACHELW,20210709035630,Outbuildings,,,,B3,LeasedFromUBC,-123.230714,49.246738
VBL10022,TRIUMF - Accelerator,TRF02,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,Concrete,6,,27015,853,0,,,GISSTUD2,20190514181017,RACHELW,20210709035634,Unspecified,,,,B3,LeasedFromUBC,-123.229286,49.247272
VBL10023,TRIUMF - Accelerator Trailer,TRF03,Complete,20030101,Research,,Non-UBC,Academic,Non-UBC,Occupied,,OtherMixed,1,,30,853-3,0,,,GISSTUD2,20190514181117,RACHELW,20210709035635,Outbuildings,,,,B3,LeasedFromUBC,-123.230129,49.246851
VBL10233,Norman MacKenzie House,MCKH,Complete,19500101,Housing,,UBC,Academic,UBC,Occupied,,Wood,3,,970,728;728-1,0,,,,,RACHELW,20211007014250,Duplex/Townhouse,,,UBC,B5,,-123.261175,49.267676
VBL10423,Brock Commons North,BRCN,UnderConstruction,,Commons,,UBC,Academic,SHHS,Unoccupied,,Concrete,,,,,,,,RACHELW,20210416040415,RACHELW,20211021013425,Apt5StoreyPlus,,,,B5,,-123.252629,49.269574
VBL10222,UBC Research Ponds,RESP,Complete,20100101,Academic,,UBC,Academic,UBC,Occupied,,Wood,1,,41,585,0,,,RACHELW,20211015004615,RACHELW,20211015004615,Outbuildings,,,UBC,B2,,-123.232721,49.247161
