ADD_UID,UNIT_DESIGNATOR,UNIT_NUMBER_PREFIX,UNIT_NUMBER,UNIT_NUMBER_SUFFIX,SITE_NAME,SUPER_FULL_SITE_DESCRIPTOR,CIVIC_NUMBER,CIVIC_NUMBER_SUFFIX,STREET_NAME,STREET_TYPE,IS_STREET_TYPE_PREFIX,STREET_DIRECTION,IS_STREET_DIRECTION_PREFIX,LOCALITY,LOCALITY_DESCRIPTOR,POSTAL_CODE,PROVINCE_CODE,STATUS,IS_OFFICIAL_ADDRESS,IS_PRIMARY,BLDG_UID,ADDRESS_DESCRIPTOR,SITE_POINT_DESCRIPTOR,FOOTPRINT_DESCRIPTOR,FOOTPRINT_ID,IS_NON_CIVIC_ADDRESS,NARRITIVE_LOCATION,IS_MAILING_ADDRESS,MAIL_PROVIDER,IS_ANNUNCIATOR,NUM_OF_UNITS,NEIGHBOURHOOD,ADDRESS_NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,PARENT_UID,FULL_ADDRESS
VAD10982,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,2510,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C6,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212010,VAD11160,2510 Melfa Lane
VAD10987,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,5502,,Yalta,Place,0,,0,Vancouver,Municipality,V6T 2C2,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212010,VAD11160,5502 Yalta Place
VAD10774,,,,,Wesbrook Professional Centre,,3313,,Shrum,Lane,0,,0,Vancouver,Municipality,V6S 0C8,BC,Current,1,1,VBL10166,OtherBuilding,FrontDoor,Building,VBL10166,0,,1,CanadaPost,,0,Wesbrook Place,,,,PLAN,20200417212010,,3313 Shrum Lane
VAD10365,Building,,10,,Place Vanier Residence - Dorothy Mawdsley House,Place Vanier Residence,1935,,Lower,Mall,0,,0,Vancouver,Municipality,V6T 1X1,BC,Current,1,1,VBL10267,CampusBuilding,FrontDoor,Building,VBL10267,0,,0,,1,1276,Academic,,,,PLAN,20200417212010,VAD10604,"1935 Lower Mall, Building 10"
VAD10838,,,,,Biological Sciences Building,,6270,,University,Boulevard,0,,0,Vancouver,Municipality,V6T 1Z4,BC,Current,1,1,VBL10409,CampusBuilding,FrontDoor,Building,VBL10409,0,,1,,,0,Academic,,,,PLAN,20200417212010,,6270 University Boulevard
VAD10472,,,,,Bioenergy Research and Demonstration Facility,,2337,,Lower,Mall,0,,0,Vancouver,Municipality,V6T 1Z4,BC,Current,1,1,VBL10069,CampusBuilding,FrontDoor,Building,VBL10069,0,,1,,1,0,Academic,,,,PLAN,20200417212010,,2337 Lower Mall
VAD10104,,,,,P. A. Woodward Instructional Resources Centre (IRC),,2194,,Health Sciences,Mall,0,,0,Vancouver,Municipality,V6T 1Z3,BC,Current,1,1,VBL10102,CampusBuilding,FrontDoor,Building,VBL10102,0,,1,,1,0,Academic,,,,PLAN,20200417212011,,2194 Health Sciences Mall
VAD10583,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,5614,,Yalta,Place,0,,0,Vancouver,Municipality,V6T 2C2,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212011,VAD11160,5614 Yalta Place
VAD10685,,,,,Acadia Park Townhouses,Acadia Park Townhouses - Building 1 -- Acadia Park & Fairview Crescent Residence,2603,,Melfa,Lane,0,,0,Vancouver,Municipality,V6T 2C5,BC,Current,1,0,VBL10259,Residential,FrontDoor,IndoorArea,,0,,0,,,1,Academic,,,,PLAN,20200417212011,VAD11160,2603 Melfa Lane
VAD10652,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2623,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2623 Fairview Crescent
VAD10653,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2617,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2617 Fairview Crescent
VAD10654,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2619,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2619 Fairview Crescent
VAD10655,,,,,Fairview Crescent Residence (Unit 24),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2627,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211954,VAD11161,2627 Fairview Crescent
VAD10656,,,,,Fairview Crescent Residence (Unit 25),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2611,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11161,2611 Fairview Crescent
VAD10657,,,,,Fairview Crescent Residence (Unit 25),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2613,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11161,2613 Fairview Crescent
VAD10661,,,,,Fairview Crescent Residence (Unit 25),Fairview Crescent Residence - Building 2 -- Acadia Park & Fairview Crescent Residence,2609,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B8,BC,Current,1,0,VBL10198,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11161,2609 Fairview Crescent
VAD10566,,,,,Fairview Crescent Residence (Unit 1),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2714,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11162,2714 Fairview Crescent
VAD10465,,,,,Fairview Crescent Residence (Unit 3),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2728,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11162,2728 Fairview Crescent
VAD10466,,,,,Fairview Crescent Residence (Unit 3),Fairview Crescent Residence - Building 1 -- Acadia Park & Fairview Crescent Residence,2726,,Fairview,Crescent,0,,0,Vancouver,Municipality,V6T 2B9,BC,Current,1,0,VBL10193,Residential,FrontDoor,IndoorArea,VBC10030,0,,0,,,1,Academic,,,,PLAN,20200417211955,VAD11162,2726 Fairview Crescent
VAD10443,Building,,6,,Totem Park Residence - Totem 6,Totem Park Residence,2525,,West,Mall,0,,0,Vancouver,Municipality,V6T 1W9,BC,Current,1,1,VBL10002,CampusBuilding,Rooftop,Building,VBL10002,0,,0,,0,,Academic,,,,PLAN,20200417212023,VAD10602,"2525 West Mall, Building 6"
