ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10626,AYO Smart Home,Vancouver,V6T 1Z3,BC,VBL10294,CampusBuilding,,5935 Agronomy Road,-123.243355,49.262982
VAD10708,Chemical and Biological Engineering Building,Vancouver,V6T 1Z3,BC,VBL10062,CampusBuilding,,2360 East Mall,-123.247297,49.262286
VAD10732,Civil and Mechanical Engineering Laboratories,Vancouver,V6T 1Z4,BC,VBL10330,CampusBuilding,,2275 East Mall,-123.249617,49.263166
VAD10734,Coal and Mineral Processing Laboratory,Vancouver,V6T 1Z4,BC,VBL10068,CampusBuilding,,2332 West Mall,-123.251812,49.26125
VAD10811,Auditorium Annexes,Vancouver,V6T 1Z2,BC,VBL10228,CampusBuilding,,1924 West Mall,-123.256865,49.266713
VAD10816,Berwick Child Development Centre,Vancouver,V6T 1X7,BC,VBL10155,CampusBuilding,,2765 Osoyoos Crescent,-123.238824,49.260906
VAD10821,Building Operations Storage Shed,Vancouver,V6T 1Z4,BC,VBL10207,CampusBuilding,,2214 Lower Mall,-123.254569,49.262085
VAD11127,Focal - Retail,Vancouver,V6T 0C7,BC,VBL10232,Commercial,CanadaPost,6117 University Boulevard,-123.248421,49.266088
VAD11119,Focal - Retail,Vancouver,V6T 0C7,BC,VBL10232,Commercial,CanadaPost,6113 University Boulevard,-123.248282,49.266106
VAD11116,Focal - Retail,Vancouver,V6T 0C7,BC,VBL10232,Commercial,CanadaPost,6103 University Boulevard,-123.248088,49.266132
VAD11115,Focal - Retail,Vancouver,V6T 0C7,BC,VBL10232,Commercial,CanadaPost,6123 University Boulevard,-123.248632,49.266059
VAD10780,Westchester (G3),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6385 Larkin Drive,-123.248901,49.257269
VAD10784,Westchester (A1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2598 West Mall,-123.249047,49.256884
VAD10785,Westchester (A2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2596 West Mall,-123.249105,49.25695
VAD10786,Westchester (B1),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2592 West Mall,-123.249154,49.257004
VAD10787,Westchester (B2),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2590 West Mall,-123.249191,49.257046
VAD10788,Westchester (G4),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6387 Larkin Drive,-123.248913,49.257244
VAD10790,Westchester (B5),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2582 West Mall,-123.249294,49.25718
VAD10791,Westchester (B6),Vancouver,V6T 2J9,BC,VBL10220,Residential,CanadaPost,2580 West Mall,-123.249307,49.257196
VAD10009,Hawthorn Green (E1),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6326 Hawthorn Lane,-123.2484,49.258307
VAD10010,Hawthorn Green (E2),Vancouver,V6T 2J6,BC,VBL10144,Residential,CanadaPost,6318 Hawthorn Lane,-123.24838,49.258314
VAD10024,Logan Lane (D3),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6256 Logan Lane,-123.245673,49.258611
